,Message,Favourite_Count,Retweet_Count,Created_At,user_name,followers
83,"RT @MintMovie: ภาพนิ่ง/เบื้องหลัง จาก #Avengers ทั้ง Infinity War และ Endgame ถ่ายภาพโดย Chuck Zlotnick 

: https://t.co/oh4G6ZPDXc https:/…",0,33,2019-08-26 08:13:58,＃SWIFTZY🏳️‍🌈,107
84,RT @DansTonCinema: 🎁 ! #Concours RT + FOLLOW pour gagner 2 exemplaires 4K + Bluray de #Avengers #EndGame [Fin le 01/09] ! 🎁 https://t.co/Dx…,0,534,2019-08-26 08:13:52,julien teulé,62
85,RT @DansTonCinema: 🎁 ! #Concours RT + FOLLOW pour gagner 2 exemplaires 4K + Bluray de #Avengers #EndGame [Fin le 01/09] ! 🎁 https://t.co/Dx…,0,534,2019-08-26 08:13:13,CarineB,409
86,"RT @MintMovie: ภาพนิ่ง/เบื้องหลัง จาก #Avengers ทั้ง Infinity War และ Endgame ถ่ายภาพโดย Chuck Zlotnick 

: https://t.co/oh4G6ZPDXc https:/…",0,33,2019-08-26 08:13:06,แฮร์รี่โส่งเสียงโหน่ย,729
87,"RT @DeadarticGames: Fortnite X Avengers: Endgame Trailer
https://t.co/xJZEEqceqn #Fortnite #Avengers #AvengersEndgame #Endgame #Epicgames #…",0,2,2019-08-26 08:12:47,Rudi A.R.,3478
88,RT @DansTonCinema: 🎁 ! #Concours RT + FOLLOW pour gagner 2 exemplaires 4K + Bluray de #Avengers #EndGame [Fin le 01/09] ! 🎁 https://t.co/Dx…,0,534,2019-08-26 08:12:32,J,66
89,"RT @MintMovie: ภาพนิ่ง/เบื้องหลัง จาก #Avengers ทั้ง Infinity War และ Endgame ถ่ายภาพโดย Chuck Zlotnick 

: https://t.co/oh4G6ZPDXc https:/…",0,33,2019-08-26 08:12:26,ตุ่มโม๊ะ💛,96
90,"Trust me.. this may not be literal..

But this gave me GOOSEBUMPS with different level of nostalgia. ♥️

#MARVELSTUD10S #Avengers #ENDGAME ⌛",0,0,2019-08-26 08:12:23,Aroop R Sahoo,249
91,"ПРОКЛЯТО 

#marvel #avengers #goodomens https://t.co/Ky5rNdYMyg",7,0,2019-08-26 08:11:59,𝚌𝚑𝚎𝚎𝚔𝚋𝚘𝚗𝚎𝚜 𝚘𝚏 𝚢𝚘𝚞𝚗𝚐 𝚏𝚒𝚛𝚝𝚑,4243
92,"Trust me.. this may not be literal..

But this gave me GOOSEBUMPS with different level of nostalgia. ♥️… https://t.co/uI4cIuLL6h",0,0,2019-08-26 08:11:47,Aroop R Sahoo,249
93,"RT @sexyboysboys1: Роберт Дауни младший, как отдельный вид искусства 🖤
#РобертДауниМл #RobertDowneyJr #MARVEL #Avengers #IronMan https://t.…",0,1,2019-08-26 08:11:44,Nightmare Lover,142
94,RT @DansTonCinema: 🎁 ! #Concours RT + FOLLOW pour gagner 2 exemplaires 4K + Bluray de #Avengers #EndGame [Fin le 01/09] ! 🎁 https://t.co/Dx…,0,534,2019-08-26 08:11:14,kinjericho 🇫🇷,289
95,"RT @MintMovie: ภาพนิ่ง/เบื้องหลัง จาก #Avengers ทั้ง Infinity War และ Endgame ถ่ายภาพโดย Chuck Zlotnick 

: https://t.co/oh4G6ZPDXc https:/…",0,33,2019-08-26 08:10:51,fairygodmother,105
96,"RT @King_Kubti: This is the battle we deserved 🔥 
#marvelcomics #Marvel #Avengers https://t.co/1dsDsunYuH",0,2,2019-08-26 08:10:42,Area 51 Memes / Memes,224
97,"RT @ComicBook: Are #XMen villains the Brood the major threat at #Disneyland's new #Avengers ride?
https://t.co/yLhphwkS4X https://t.co/XJDm…",0,5,2019-08-26 08:10:36,JayOhEee,1850
98,"RT @Vaccinologist: 👶🧒🏻👦🏼👧🏽🧑🏾👨🏿🧔👩🏻‍🦰🌍
And the people that they protect can sleep sound at night,
Knowing if diseases come &amp; there is a great…",0,16,2019-08-26 08:10:33,Alison McCallum,509
99,RT @Renner4Real: Behind the scenes with this hottie!!  #avengers #colbiesmulders #aou http://t.co/6hEXETCKSv,0,1166,2019-08-26 08:10:16,maëlle.,839
100,Am 14. September ist es soweit: #Rhinecleanup - und wir sind dabei! Gemeinsam mit vielen anderen Freiwilligen samme… https://t.co/u5EexmXhst,0,0,2019-08-26 08:39:06,Sparkasse Mainz,641
101,"Ambalajlar bir harika 
Packagings are wonderful!

https://t.co/B0TyvXKCbh

#plastik #plastikhaberleri… https://t.co/uej9m1eT2H",0,0,2019-08-26 08:22:22,turkish plastics magazine,68
102,@REWE_Supermarkt @rewe_group bekennt bitte offen: Welche bösartige Droge habt ihr für diese Kampagne konsumiert? Da… https://t.co/99CUCUhuD5,0,0,2019-08-26 08:17:08,Petra van Cronenburg,2865
103,"Aklınız bavulunuzda kalmasın, biz o işi düşündük! 
Çantalarınızın ve paketlerinizin çizilme, kirlenme ve kırılma gi… https://t.co/jTJv1TWfp0",0,0,2019-08-26 08:12:21,Beha Plastic,75
104,"Kraft çanta çeşitleri uygun fiyatlarda, toptan ve perakende satışlarla ADAPAK Ambalaj'da... İLETİŞİM: 0548 827 2066… https://t.co/iUjGXseCUC",0,0,2019-08-26 07:59:36,Adapak Ambalaj KKTC,12
105,RT @vpw_online: Neues Ral Gütezeichen „%-Recycling Kunststoff“ gibt den %-Anteil recycelter Kunststoffmaterialien aus dem Gelben Sack oder…,0,1,2019-08-26 07:57:17,Werner & Mertz Professional / tana Professional,365
106,"RT @gfa_kampagne: Was tut Ihr so, um unnötigen #Plastikmüll – und insbesondere den Gebrauch von #Plastiktüten – zu vermeiden? 🛍👀

#plastik…",0,2,2019-08-26 07:53:20,Jens Mander,482
107,"RT @News_Kunststoff: Die Plastiktüte hat die bessere Klimabilanz v @Tagesspiegel https://t.co/9ITU01YmJJ

#ökobilanz #plastik #Plastikfrei…",0,1,2019-08-26 07:47:32,UweBoes,38
108,"Was tut Ihr so, um unnötigen #Plastikmüll – und insbesondere den Gebrauch von #Plastiktüten – zu vermeiden? 🛍👀… https://t.co/0VtjJvnhX3",1,2,2019-08-26 07:36:00,GEMEINSAM FÜR AFRIKA,485
109,Atakule Projemizden Tokoz Yükseltilmiş Döşeme Ayakları İle Bir Kesit #plastiküreticileri #plastik… https://t.co/vCoHEKDkED,0,0,2019-08-26 07:29:33,TOKOZ INTERNATIONAL,854
110,RT @lidl: Mit dem Mehrwegnetz einfach #Plastik einsparen: Ab dem 26. August führt #Lidl mit „Dein Vitaminnetz“ eine nachhaltige Alternative…,0,5,2019-08-26 07:26:27,PlastikNet,387
111,#Bamboo (nature) versus #plastic (chemical). #Nature wins until #police take their #guns. Thank you for the vid fro… https://t.co/JBQBWWSAhk,0,0,2019-08-26 07:18:10,Karsten Neumann,45
